ticker,close,atr,volatility_%,scanner_score,ai_score,market_regime,signal,rsi,adx,macd,macd_hist,volume_ratio
MUU,622.86,54.9185,8.82,288.51,115,BULL,BUY,80.85,41.69,124.552,21.6707,1.43
MULL,546.8,47.9206,8.76,287.92,115,BULL,BUY,80.53,41.62,108.9899,19.0171,1.27
LINT,212.41,22.172,10.44,273.03,115,BULL,BUY,71.36,63.09,47.526,1.9458,1.03
AMUU,186.76,15.8203,8.47,268.34,115,BULL,BUY,74.5,51.11,36.8456,2.9186,0.63
INTW,335.04,35.4325,10.58,267.63,115,BULL,BUY,71.46,63.42,75.0287,2.9796,0.97
AMDG,90.28,7.5367,8.35,262.93,110,BULL,BUY,74.54,51.03,17.7976,1.3656,0.34
AMDL,53.37,4.6683,8.75,262.92,110,BULL,BUY,74.48,51.13,10.5071,0.8258,0.44
QCMU,36.48,4.5687,12.52,248.5,115,BULL,BUY,65.75,47.25,7.0546,0.5042,2.15
QCML,29.3,3.7036,12.64,248.32,115,BULL,BUY,65.7,46.87,5.6643,0.3971,1.57
RIOX,53.66,5.2109,9.71,241.87,115,BULL,BUY,72.6,24.92,9.0306,1.2875,0.69
SOXL,184.24,14.2125,7.71,239.8,115,BULL,BUY,72.04,47.0,29.7913,2.056,0.91
AMDW,94.99,5.536,5.83,227.23,115,BULL,BUY,75.31,53.6,13.849,0.8468,0.64
KORU,893.85,91.3132,10.22,224.41,115,BULL,BUY,64.6,29.64,139.7753,8.0104,1.07
AMDY,53.86,2.4277,4.51,222.86,115,BULL,BUY,76.1,51.85,6.1157,0.3211,1.41
OSCG,19.72,1.273,6.45,221.43,95,BULL,HOLD,85.8,57.88,3.2463,0.5839,2.08
RKLX,80.87,8.4909,10.5,220.95,115,BULL,BUY,75.55,24.17,12.1355,4.3681,0.99
OSCX,77.96,5.1117,6.56,220.66,95,BULL,HOLD,86.2,58.17,12.7455,2.3023,1.28
BULZ,45.19,2.6492,5.86,218.81,115,BULL,BUY,77.52,40.7,6.0435,0.3926,0.66
APLX,35.48,4.2961,12.11,217.32,110,BULL,BUY,69.29,35.27,5.4286,0.6979,0.39
