ticker,data_status,data_quality_reason,price_rows,latest_price_date,min_history_ok,data_ultima_chiusura,close,atr,volatility_%,scanner_score,setup_score,opportunity_label,reason,ai_score,market_regime,signal,rsi,adx,macd,macd_hist,volume_ratio,bb_lower,bb_middle,bb_upper,bb_bandwidth,bb_percent_b,selection_score,label_score,score_schema_version,buy_gate_passed,buy_gate_fail_reasons,score_consistency_status
MOBBW,OK,OK,937,2026-05-20,True,2026-05-20,2.05,0.006,0.29,437.1,424.1,SELL / Exit Watch,SELL/uscita; regime BULL; trend forte; MACD debole; volume sopra media; prezzo oltre Bollinger alta; volatilita accettabile,90.0,BULL,SELL,94.62,81.55,0.0311,-0.0111,20.0,2.0081,2.0215,2.0349,1.33,1.56,437.1,424.1,v1_legacy_additive,False,SIGNAL_NOT_BUY,SELL_EXIT
AIXI,OK,OK,803,2026-05-20,True,2026-05-20,11.47,1.3102,11.42,415.75,401.75,SELL / Exit Watch,SELL/uscita; regime BULL; trend forte; MACD positivo; Bollinger equilibrate; volatilita molto alta,70.0,BULL,SELL,79.01,60.52,2.9465,0.7947,0.01,-5.6689,5.0664,15.8016,423.79,0.8,415.75,401.75,v1_legacy_additive,False,SIGNAL_NOT_BUY,SELL_EXIT
EDSA,OK,OK,1256,2026-05-20,True,2026-05-20,10.8,2.2941,21.24,374.1,375.1,Watchlist,HOLD; regime BULL; trend forte; MACD debole; Bollinger equilibrate; volatilita molto alta,65.0,BULL,HOLD,47.32,38.14,0.8975,-0.8496,0.32,7.1175,13.7365,20.3555,96.37,0.28,374.1,375.1,v1_legacy_additive,False,SIGNAL_NOT_BUY,WATCHLIST_ONLY
ANTX,OK,OK,1042,2026-05-20,True,2026-05-20,4.61,0.4298,9.32,340.95,351.95,Watchlist,HOLD; regime BULL; trend forte; MACD debole; Bollinger equilibrate; volatilita alta,85.0,BULL,HOLD,57.07,35.1,0.212,-0.0471,0.14,4.2331,4.5825,4.9319,15.25,0.54,340.95,351.95,v1_legacy_additive,False,SIGNAL_NOT_BUY,WATCHLIST_ONLY
AXTI,OK,OK,1256,2026-05-20,True,2026-05-20,103.02,13.9117,13.5,311.54,312.54,Watchlist,HOLD; regime BULL; trend forte; MACD debole; Bollinger equilibrate; volatilita molto alta,85.0,BULL,HOLD,53.74,41.05,11.8442,-1.5959,0.46,60.9297,100.5465,140.1633,78.8,0.53,311.54,312.54,v1_legacy_additive,False,SIGNAL_NOT_BUY,WATCHLIST_ONLY
XWEL,OK,OK,1255,2026-05-13,True,2026-05-13,1.36,0.1169,8.59,295.43,311.43,Watchlist,HOLD; regime BULL; trend forte; MACD positivo; Bollinger equilibrate; volatilita alta,90.0,BULL,HOLD,55.77,26.45,0.0494,0.0158,0.67,1.0392,1.2445,1.4498,33.0,0.78,295.43,311.43,v1_legacy_additive,False,SIGNAL_NOT_BUY,WATCHLIST_ONLY
CVGI,OK,OK,1256,2026-05-20,True,2026-05-20,4.79,0.3934,8.21,293.85,304.85,Watchlist,HOLD; regime BULL; trend forte; MACD debole; Bollinger equilibrate; volatilita alta,85.0,BULL,HOLD,54.45,27.91,0.3213,-0.0544,0.29,3.7023,4.733,5.7637,43.55,0.53,293.85,304.85,v1_legacy_additive,False,SIGNAL_NOT_BUY,WATCHLIST_ONLY
VFSWW,OK,OK,681,2026-05-13,True,2026-05-13,0.43,0.0288,6.71,284.81,295.81,Watchlist,HOLD; regime BULL; trend forte; MACD debole; Bollinger equilibrate; volatilita alta,85.0,BULL,HOLD,53.7,33.55,0.0212,-0.0134,0.0,0.3802,0.4574,0.5345,33.72,0.32,284.81,295.81,v1_legacy_additive,False,SIGNAL_NOT_BUY,WATCHLIST_ONLY
DLLL,OK,OK,317,2026-05-20,True,2026-05-20,73.28,6.9059,9.42,276.78,287.78,Watchlist,HOLD; regime BULL; trend forte; MACD debole; Bollinger equilibrate; volatilita alta,85.0,BULL,HOLD,60.83,40.37,6.7675,-0.557,0.9,47.8537,65.6507,83.4476,54.22,0.71,276.78,287.78,v1_legacy_additive,False,SIGNAL_NOT_BUY,WATCHLIST_ONLY
WATT,OK,OK,1255,2026-05-13,True,2026-05-13,23.62,3.1738,13.44,276.94,281.94,Watchlist,HOLD; regime BULL; trend forte; MACD debole; volume sopra media; Bollinger equilibrate; volatilita molto alta,70.0,BULL,HOLD,47.37,34.93,1.7263,-1.1143,1.37,20.144,27.61,35.076,54.08,0.23,276.94,281.94,v1_legacy_additive,False,SIGNAL_NOT_BUY,WATCHLIST_ONLY
