ticker,data_ultima_chiusura,close,atr,volatility_%,scanner_score,setup_score,opportunity_label,reason,ai_score,market_regime,signal,rsi,adx,macd,macd_hist,volume_ratio,bb_lower,bb_middle,bb_upper,bb_bandwidth,bb_percent_b,decision_reason,position_status
ENI.MI,2026-05-15,23.52,0.6426,2.73,211.66,227.66,Watchlist,HOLD; regime BULL; MACD debole; Bollinger equilibrate; volatilita accettabile,100,BULL,HOLD,53.4,15.5,0.1707,-0.0215,0.73,21.9413,23.1713,24.4012,10.62,0.64,EXCLUDED_SIGNAL_NOT_BUY,EXCLUDED
TEN.MI,2026-05-15,26.66,0.7347,2.76,205.64,221.64,Watchlist,HOLD; regime BULL; MACD debole; Bollinger equilibrate; volatilita accettabile,100,BULL,HOLD,55.83,20.87,0.4203,-0.0546,0.82,24.7387,26.352,27.9653,12.24,0.6,EXCLUDED_SIGNAL_NOT_BUY,EXCLUDED
SOL.MI,2026-05-15,59.1,1.6114,2.73,175.5,191.5,Watchlist,HOLD; regime BULL; MACD debole; Bollinger equilibrate; volatilita accettabile,100,BULL,HOLD,58.33,13.15,0.6197,-0.0267,0.96,55.9326,58.145,60.3574,7.61,0.72,EXCLUDED_SIGNAL_NOT_BUY,EXCLUDED
G.MI,2026-05-15,38.63,0.7309,1.89,164.79,189.79,Watchlist,HOLD; regime BULL; trend forte; MACD debole; volume sopra media; Bollinger equilibrate; volatilita accettabile,110,BULL,HOLD,58.41,29.15,0.7918,-0.0594,1.24,36.9762,38.2935,39.6108,6.88,0.63,EXCLUDED_SIGNAL_NOT_BUY,EXCLUDED
UNI.MI,2026-05-15,22.15,0.4852,2.19,161.07,181.07,Watchlist,HOLD; regime BULL; MACD debole; volume sopra media; Bollinger equilibrate; volatilita accettabile,105,BULL,HOLD,54.83,18.18,0.299,-0.0747,1.87,21.6929,22.2345,22.7761,4.87,0.42,EXCLUDED_SIGNAL_NOT_BUY,EXCLUDED
MB.MI,2026-05-15,20.47,0.5916,2.89,152.78,173.78,Watchlist,HOLD; regime BULL; trend forte; MACD debole; Bollinger equilibrate; volatilita accettabile,105,BULL,HOLD,65.39,41.95,0.7572,-0.0508,0.71,19.3151,20.1103,20.9054,7.91,0.73,EXCLUDED_SIGNAL_NOT_BUY,EXCLUDED
REC.MI,2026-05-15,51.5,1.0411,2.02,153.66,168.66,Watchlist,HOLD; regime BULL; trend forte; MACD positivo; prezzo vicino Bollinger alta; volatilita accettabile,110,BULL,HOLD,64.74,26.03,0.6549,0.1349,0.94,48.5581,50.076,51.5939,6.06,0.97,EXCLUDED_SIGNAL_NOT_BUY,EXCLUDED
SRG.MI,2026-05-15,6.2,0.1252,2.02,140.48,149.48,Watchlist,HOLD; regime BULL; MACD debole; volume sopra media; prezzo sotto Bollinger bassa; volatilita accettabile,85,BULL,HOLD,31.88,23.63,-0.0639,-0.0486,1.12,6.2625,6.5594,6.8563,9.05,-0.11,EXCLUDED_SIGNAL_NOT_BUY,EXCLUDED
TIT.MI,2026-05-15,0.71,0.0144,2.03,149.64,148.64,SELL / Exit Watch,SELL/uscita; regime BULL; trend forte; MACD positivo; volume sopra media; prezzo vicino Bollinger alta; volatilita accettabile,95,BULL,SELL,72.19,33.6,0.0184,0.0025,1.14,0.6374,0.6765,0.7156,11.56,0.92,EXCLUDED_SIGNAL_NOT_BUY,EXCLUDED
PRY.MI,2026-05-15,153.15,6.2414,4.08,135.19,141.19,SELL / Exit Watch,SELL/uscita; regime BULL; trend forte; MACD positivo; Bollinger equilibrate; volatilita accettabile,70,BULL,SELL,71.5,42.2,11.5655,1.4652,0.99,106.8322,135.3425,163.8528,42.13,0.81,EXCLUDED_SIGNAL_NOT_BUY,EXCLUDED
IG.MI,2026-05-15,10.13,0.2141,2.11,120.27,134.27,Watchlist,HOLD; regime BULL; MACD debole; volume sopra media; volatilita accettabile,85,BULL,HOLD,44.11,9.27,-0.0049,-0.0109,1.2,10.1015,10.3115,10.5215,4.07,0.07,EXCLUDED_SCORE_BELOW_MINIMUM,EXCLUDED
TRN.MI,2026-05-15,9.67,0.1905,1.97,119.92,124.92,Watchlist,HOLD; regime BULL; MACD debole; prezzo sotto Bollinger bassa; volatilita accettabile,80,BULL,HOLD,36.58,12.09,-0.039,-0.0544,0.83,9.7788,10.0695,10.3601,5.77,-0.19,EXCLUDED_SCORE_BELOW_MINIMUM,EXCLUDED
ENEL.MI,2026-05-15,9.48,0.2101,2.22,116.56,121.56,Watchlist,HOLD; regime BULL; MACD debole; prezzo sotto Bollinger bassa; volatilita accettabile,80,BULL,HOLD,43.1,15.5,-0.0003,-0.0315,0.76,9.5272,9.7508,9.9743,4.59,-0.1,EXCLUDED_SCORE_BELOW_MINIMUM,EXCLUDED
ERG.MI,2026-05-15,23.38,0.6751,2.89,101.44,96.44,SELL / Exit Watch,SELL/uscita; regime laterale; MACD positivo; volume sopra media; Bollinger equilibrate; volatilita accettabile,80,SIDEWAYS,SELL,59.57,10.33,0.2483,0.07,2.64,21.2081,22.549,23.8899,11.89,0.81,EXCLUDED_SCORE_BELOW_MINIMUM,EXCLUDED
