ticker,scanner_score,market_regime,signal,position_status,decision_reason,entry_price,atr,stop_loss_price,initial_trailing_stop,risk_per_trade_%,risk_$,risk_%,capital_allocation_%,capital_allocation_$,estimated_quantity,estimated_max_loss_$
MUU,288.51,BULL,BUY,SELECTED,SELECTED_VALID_BUY_SETUP,622.86,54.9185,513.02,485.56,1.0,10.0,1.0,5.67,56.71,0.091,10.0
MULL,287.92,BULL,BUY,SELECTED,SELECTED_VALID_BUY_SETUP,546.8,47.9206,450.96,427.0,1.0,9.43,0.94,5.38,53.82,0.0984,9.43
LINT,273.03,BULL,BUY,SELECTED,SELECTED_VALID_BUY_SETUP,212.41,22.172,168.07,156.98,1.0,8.89,0.89,4.26,42.61,0.2006,8.89
AMUU,268.34,BULL,BUY,SELECTED,SELECTED_VALID_BUY_SETUP,186.76,15.8203,155.12,147.21,1.0,8.47,0.85,5.0,49.99,0.2677,8.47
INTW,267.63,BULL,BUY,SELECTED,SELECTED_VALID_BUY_SETUP,335.04,35.4325,264.18,246.46,1.0,7.97,0.8,3.77,37.68,0.1125,7.97
AMDG,262.93,BULL,BUY,SELECTED,SELECTED_VALID_BUY_SETUP,90.28,7.5367,75.21,71.44,1.0,7.59,0.76,4.55,45.47,0.5037,7.59
AMDL,262.92,BULL,BUY,SELECTED,SELECTED_VALID_BUY_SETUP,53.37,4.6683,44.03,41.7,1.0,7.14,0.71,4.08,40.8,0.7644,7.14
QCMU,248.5,BULL,BUY,SELECTED,SELECTED_VALID_BUY_SETUP,36.48,4.5687,27.34,25.06,1.0,6.73,0.67,2.69,26.87,0.7365,6.73
QCML,248.32,BULL,BUY,SELECTED,SELECTED_VALID_BUY_SETUP,29.3,3.7036,21.89,20.04,1.0,6.46,0.65,2.56,25.56,0.8722,6.46
RIOX,241.87,BULL,BUY,SELECTED,SELECTED_VALID_BUY_SETUP,53.66,5.2109,43.24,40.63,1.0,6.21,0.62,3.19,31.95,0.5954,6.21
