scan_date,ticker,reason,weeks_held,entry_price,exit_price,weekly_return_%,capital,gross_return_%,net_return_%
2023-01-02,CASH,NO_BUY_SIGNAL,0,,,0.0,1000.0,,
2023-01-09,CASH,NO_BUY_SIGNAL,0,,,0.0,1000.0,,
2023-01-16,SPY,NEW_SELECTION,1,381.7,383.68,0.32,1003.18,0.52,0.32
2023-01-23,SPY,HOLD_EXISTING,2,384.45,383.64,-0.41,999.07,-0.21,-0.41
2023-01-30,SPY,HOLD_EXISTING,3,384.41,392.49,1.9,1018.07,2.1,1.9
2023-02-06,SPY,HOLD_EXISTING,4,393.28,395.36,0.33,1021.44,0.53,0.33
2023-02-13,NVDA,NEW_SELECTION,1,21.79,21.34,-2.23,998.64,-2.03,-2.23
2023-02-20,NVDA,HOLD_EXISTING,2,20.65,23.45,13.35,1131.97,13.55,13.35
2023-02-27,NVDA,HOLD_EXISTING,3,23.5,23.51,-0.17,1129.99,0.03,-0.17
2023-03-06,NVDA,HOLD_EXISTING,4,23.55,22.92,-2.87,1097.51,-2.67,-2.87
2023-03-13,NVDA,NEW_SELECTION,1,22.97,25.85,12.35,1233.05,12.55,12.35
2023-03-20,NVDA,HOLD_EXISTING,2,25.9,26.48,2.03,1258.11,2.23,2.03
2023-03-27,NVDA,HOLD_EXISTING,3,26.53,27.91,4.99,1320.94,5.19,4.99
2023-04-03,NVDA,HOLD_EXISTING,4,27.97,27.53,-1.78,1297.46,-1.58,-1.78
2023-04-10,NVDA,NEW_SELECTION,1,27.58,26.95,-2.49,1265.18,-2.29,-2.49
2023-04-17,NVDA,HOLD_EXISTING,2,27.01,26.99,-0.25,1262.0,-0.05,-0.25
2023-04-24,NVDA,HOLD_EXISTING,3,27.05,28.86,6.49,1343.95,6.69,6.49
2023-05-01,NVDA,HOLD_EXISTING,4,28.91,29.1,0.43,1349.76,0.63,0.43
2023-05-08,MSFT,NEW_SELECTION,1,301.81,302.0,-0.14,1347.9,0.06,-0.14
2023-05-15,MSFT,HOLD_EXISTING,2,302.6,314.12,3.61,1396.51,3.81,3.61
2023-05-22,MSFT,HOLD_EXISTING,3,314.75,325.57,3.24,1441.74,3.44,3.24
2023-05-29,MSFT,HOLD_EXISTING,4,324.58,328.56,1.03,1456.52,1.23,1.03
2023-06-05,AAPL,NEW_SELECTION,1,177.27,181.07,1.94,1484.78,2.14,1.94
2023-06-12,AAPL,HOLD_EXISTING,2,181.43,182.18,0.21,1487.95,0.41,0.21
2023-06-19,AAPL,HOLD_EXISTING,3,182.63,182.53,-0.26,1484.09,-0.06,-0.26
2023-06-26,AAPL,HOLD_EXISTING,4,182.89,189.61,3.47,1535.64,3.67,3.47
2023-07-03,NVDA,NEW_SELECTION,1,42.42,42.1,-0.95,1521.08,-0.75,-0.95
