date,type,price,stop_loss,trailing_stop,cash,position_value,equity,stop_price,pnl_%
2022-03-30,BUY,434.0557861328125,419.35,415.67,704.9037725370802,295.0962274629198,1000.0,,
2022-04-11,STOP_LOSS,416.2847595214844,,,987.9182283045491,0.0,987.9182283045491,419.35,-4.09
2022-04-19,BUY,421.12957763671875,407.64,404.26,679.5564655717769,308.3617627327722,987.9182283045491,,
2022-04-22,STOP_LOSS,403.15045166015625,,,974.7534560516965,0.0,974.7534560516965,407.64,-4.27
2022-08-10,BUY,399.142333984375,386.32,383.12,671.2738991104563,303.4795569412401,974.7534560516965,,
2022-08-22,TRAILING_STOP,392.8318786621094,,,969.9554328348115,0.0,969.9554328348115,393.82,-1.58
2022-08-25,BUY,398.6860656738281,387.22,384.36,632.55320081395,337.40223202086156,969.9554328348115,,
2022-08-26,STOP_LOSS,385.19097900390625,,,958.534736814119,0.0,958.534736814119,387.22,-3.38
2022-11-22,BUY,381.6107177734375,367.73,364.25,695.1003977157004,263.43433909841866,958.534736814119,,
2022-12-15,TRAILING_STOP,371.81036376953125,,,951.7693351634182,0.0,951.7693351634182,373.75,-2.57
2023-01-12,BUY,380.54461669921875,368.05,364.92,661.9192757382692,289.85005942514897,951.7693351634182,,
2023-02-21,TRAILING_STOP,382.5865173339844,,,953.3245930605358,0.0,953.3245930605358,385.23,0.54
2023-03-03,BUY,387.4755859375,376.49,373.74,617.1831494507403,336.14144360979554,953.3245930605358,,
2023-03-09,STOP_LOSS,375.3679504394531,,,942.82102013176,0.0,942.82102013176,376.49,-3.12
2023-03-30,BUY,388.48291015625,376.72,373.77,631.5604404053101,311.26057972644975,942.82102013176,,
2023-06-15,SELL,425.9165954589844,,,972.8136666137898,0.0,972.8136666137898,,9.64
2023-06-20,BUY,422.26361083984375,413.52,411.34,502.8801350538533,469.9335315599365,972.8136666137898,,
2023-07-18,SELL,438.6932678222656,,,991.0980902057536,0.0,991.0980902057536,,3.89
2023-07-20,BUY,436.7518310546875,429.38,427.54,403.6372582886554,587.4608319170982,991.0980902057536,,
2023-08-04,TRAILING_STOP,431.5650634765625,,,984.121536062757,0.0,984.121536062757,433.14,-1.19
2023-08-07,BUY,435.3320007324219,427.36,425.36,446.85195580491916,537.2695802578378,984.121536062757,,
2023-08-16,STOP_LOSS,424.6397705078125,,,970.9256073574675,0.0,970.9256073574675,427.36,-2.46
2023-08-29,BUY,433.8349304199219,424.23,421.83,532.4696285200383,438.45597883742914,970.9256073574675,,
2023-09-20,TRAILING_STOP,425.1683044433594,,,962.166667702485,0.0,962.166667702485,426.04,-2.0
2023-11-14,BUY,434.9483947753906,424.35,421.7,567.3456714065923,394.82099629589277,962.166667702485,,
2023-12-13,SELL,456.0497741699219,,,981.3212794583665,0.0,981.3212794583665,,4.85
2023-12-20,BUY,455.7188415527344,447.52,445.47,435.7908974954796,545.5303819628868,981.3212794583665,,
2024-01-04,TRAILING_STOP,454.7650146484375,,,980.1794755477476,0.0,980.1794755477476,454.78,-0.21
2024-01-05,BUY,455.387939453125,447.82,445.92,390.69769525375,589.4817802939976,980.1794755477476,,
2024-01-29,SELL,478.1125183105469,,,1009.59554927467,0.0,1009.59554927467,,4.99
